ID,SMILES,mib_vol,LogP_Jchem,pKa_uncap
1201,[C@H]12CN(CN1)[C@H](N2)[C@@H](N)C(=O)O,150.917,-3.540842195,2.326312075
1213,[C@@H]12NCN(CN1)[C@@H]2[C@@H](N)C(=O)O,150.917,-3.659677102,-9.211746409
1217,C1N2CN[C@](C2)(N1)[C@@H](N)C(=O)O,150.567,-3.456767349,0.616305922
1223,C1=C(NCNCN1)[C@H](N)C(=O)O,155.138,-4.500728696,2.327776907
1229,C1=C(N[C@H](CN)N1)[C@H](N)C(=O)O,154.05,-5.022799737,2.324638657
1231,C1(=C(NC[C@@H]1N)[C@H](N)C(=O)O)N,152.937,-6.018928204,1.363280326
1237,C1(=C(CN[C@H]1N)[C@@H](N)C(=O)O)N,152.937,-5.516575592,2.288180198
1249,C1(=C[C@H](N)C(=O)O)NCNCN1,155.138,-3.520094767,2.324244081
1259,C1(=C(NCN1)[C@@H](N)C(=O)O)CN,154.025,-5.524130609,2.323254117
1277,C1(=C(NCNC1)[C@@H](N)C(=O)O)N,154.025,-5.519163978,2.351714439
1279,C1=CN[C@@H](NC=N1)[C@H](N)C(=O)O,149.22,-3.437548933,1.887187507
1283,C1=CN[C@@H](N=CN1)[C@@H](N)C(=O)O,149.22,-3.479917989,1.883458537
1289,c1(c[nH]cn1)NC[C@@H](N)C(=O)O,149.194,-3.478924756,1.993675257
1291,c1(cnc[nH]1)NC[C@@H](N)C(=O)O,149.194,-3.567676915,1.966638073
1297,c1(ncc[nH]1)NC[C@@H](N)C(=O)O,149.194,-3.334433912,1.958073553
1301,C1(=CN[C@@H](N=C1)[C@H](N)C(=O)O)N,148.107,-4.619383491,1.75028696
1303,c1(c[nH]cn1)[C@@H](N)[C@H](N)C(=O)O,148.107,-4.137054814,1.51403562
1307,c1(cnc[nH]1)[C@H](N)[C@@H](N)C(=O)O,148.107,-4.4154899,1.511530273
1319,C1(=NC=C[C@H](N1)[C@H](N)C(=O)O)N,148.107,-3.301369787,1.967874432
1321,C1(=N[C@H](C=CN1)[C@H](N)C(=O)O)N,148.107,-3.302217347,1.963484474
1327,c1(ncc[nH]1)[C@H](N)[C@@H](N)C(=O)O,148.107,-4.131990693,1.521635719
1361,C1=C[C@](N=CN1)(N)[C@@H](N)C(=O)O,147.783,-3.629592682,1.872770639
1367,C1(=C)N=C(N[C@@H]1[C@@H](N)C(=O)O)N,148.421,-3.38432559,1.963319843
1373,C1(=C)NC(=N[C@H]1[C@@H](N)C(=O)O)N,148.421,-3.38524493,1.958351119
1381,c1(c([nH]cn1)C[C@@H](N)C(=O)O)N,148.081,-3.868727382,1.971140346
1399,c1(c([nH]cn1)N)C[C@@H](N)C(=O)O,148.081,-4.054203454,1.943796108
1409,c1(c[nH]c(n1)C[C@@H](N)C(=O)O)N,148.081,-3.53845758,1.980963731
1423,c1(c[nH]c(n1)N)C[C@@H](N)C(=O)O,148.081,-3.452390054,1.931480296
1427,c1(cnc([nH]1)C[C@H](N)C(=O)O)N,148.081,-4.070108357,1.938184228
1429,c1(cnc([nH]1)N)C[C@H](N)C(=O)O,148.081,-3.515801634,1.938313648
1433,C1=N[C@H]2N[C@@H]1N[C@@H]2[C@@H](N)C(=O)O,144.617,-3.92488738,1.568189952
1439,C1=N[C@]2(CN[C@@H]1N2)[C@@H](N)C(=O)O,144.267,-3.742939485,1.964957107
1447,C1=N[C@H]2CN[C@@]1(N2)[C@@H](N)C(=O)O,144.267,-3.512320894,1.546244925
1451,c1(=N)n(cc[nH]1)C[C@H](N)C(=O)O,148.614,-2.988113688,1.972878266
1453,c1(cn(cn1)C[C@H](N)C(=O)O)N,148.462,-3.569330163,1.9742641
1459,c1(cncn1C[C@H](N)C(=O)O)N,148.462,-3.640644643,1.951622385
1471,c1(nccn1C[C@H](N)C(=O)O)N,148.462,-2.921893896,1.941317565
1481,C1(=N)NC=C[C@H](N1)[C@H](N)C(=O)O,148.258,-3.247688627,1.970161142
1483,C1=CN[C@@](C=N)(N1)[C@@H](N)C(=O)O,147.934,-4.268140032,1.97350049
1487,C1(=C)NC(=N)N[C@@H]1[C@@H](N)C(=O)O,148.572,-3.327590286,1.962895333
