ID,SMILES,mib_vol,LogP_Jchem,pKa_uncap,Type
1571,C\1(=C(/N)\[C@H](N)C(=O)O)/C=NCN1,148.081,-5.160804835,3.493528683,Computational
1579,C1(=C(NCN=C1)[C@H](N)C(=O)O)N,148.081,-5.177210469,3.555147765,Computational
1583,c1(CN)ncc([nH]1)[C@@H](N)C(=O)O,148.081,-4.745008231,1.636271676,Computational
1597,c1(CN)nc(c[nH]1)[C@@H](N)C(=O)O,148.081,-4.297177795,1.441644573,Computational
1601,C1(=NC=C(NC1)[C@@H](N)C(=O)O)N,148.081,-4.426577197,2.004281069,Computational
1607,C1(=NC(=CNC1)[C@@H](N)C(=O)O)N,148.081,-4.385352593,1.897397959,Computational
1609,C\1(=C(\N)/[C@H](N)C(=O)O)/CNC=N1,148.081,-4.862625307,2.004320401,Computational
1613,c1(CN)nc[nH]c1[C@@H](N)C(=O)O,148.081,-4.698655992,1.584766827,Computational
1619,C\1(=C(\N)/[C@H](N)C(=O)O)/CN=CN1,148.081,-4.918757755,2.003716993,Computational
1621,c1(CN)[nH]cnc1[C@@H](N)C(=O)O,148.081,-4.359736102,1.453474753,Computational
